time_sec,thruster_0_thrust_N,thruster_1_thrust_N,thruster_2_thrust_N,thruster_3_thrust_N,thruster_4_thrust_N,thruster_5_thrust_N,thruster_6_thrust_N,thruster_7_thrust_N
9.180000,1.346825,1.807888,-1.758399,-1.390179,-0.142575,-0.142575,-0.142575,-0.142575
9.230000,1.358074,1.830341,-1.781503,-1.400756,-0.142605,-0.142605,-0.142605,-0.142605
9.280000,1.368622,1.852074,-1.803915,-1.410611,-0.142626,-0.142626,-0.142626,-0.142626
9.330000,1.378344,1.872932,-1.825477,-1.419619,-0.142637,-0.142637,-0.142637,-0.142637
9.380000,1.387122,1.892764,-1.846037,-1.427665,-0.142634,-0.142634,-0.142634,-0.142634
9.430000,1.394843,1.911427,-1.865449,-1.434638,-0.142616,-0.142616,-0.142616,-0.142616
9.480000,1.401404,1.928788,-1.883577,-1.440437,-0.142582,-0.142582,-0.142582,-0.142582
9.530000,1.406711,1.944725,-1.900298,-1.444971,-0.142529,-0.142529,-0.142529,-0.142529
9.580000,1.410682,1.959128,-1.915497,-1.448160,-0.142456,-0.142456,-0.142456,-0.142456
9.630000,1.413244,1.971896,-1.929073,-1.449931,-0.142362,-0.142362,-0.142362,-0.142362
9.680000,1.414332,1.982944,-1.940935,-1.450225,-0.142246,-0.142246,-0.142246,-0.142246
9.730000,1.413950,1.992179,-1.950983,-1.449052,-0.142107,-0.142107,-0.142107,-0.142107
9.780000,1.411944,1.999586,-1.959214,-1.446248,-0.141942,-0.141942,-0.141942,-0.141942
9.830000,1.408353,2.005095,-1.965547,-1.441860,-0.141751,-0.141751,-0.141751,-0.141751
9.880000,1.403254,2.008708,-1.969973,-1.435974,-0.141537,-0.141537,-0.141537,-0.141537
9.930000,1.396436,2.010340,-1.972422,-1.428369,-0.141292,-0.141292,-0.141292,-0.141292
9.980000,1.388028,2.010028,-1.972921,-1.419181,-0.141021,-0.141021,-0.141021,-0.141021
10.030000,1.378046,2.007787,-1.971479,-1.408429,-0.140722,-0.140722,-0.140722,-0.140722
10.080000,1.366522,2.003639,-1.968121,-1.396145,-0.140396,-0.140396,-0.140396,-0.140396
10.130000,1.353495,1.997625,-1.962884,-1.382370,-0.140042,-0.140042,-0.140042,-0.140042
10.180000,1.339015,1.989796,-1.955817,-1.367156,-0.139661,-0.139661,-0.139661,-0.139661
10.230000,1.323141,1.980213,-1.946982,-1.350561,-0.139254,-0.139254,-0.139254,-0.139254
